Frame,Visibility,X,Y
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,1,601,320
10,1,595,301
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,1,565,260
19,0,0,0
20,0,0,0
21,0,0,0
22,1,637,232
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,1,663,251
32,1,675,258
33,1,681,263
34,1,690,271
35,1,696,278
36,1,706,286
37,1,713,296
38,1,720,307
39,1,726,318
40,1,733,331
41,1,730,311
42,1,723,293
43,1,717,281
44,1,716,276
45,1,713,267
46,1,711,258
47,1,706,251
48,1,701,246
49,1,696,245
50,1,691,243
51,1,688,243
52,1,685,245
53,1,681,246
54,1,676,251
55,0,0,0
56,0,0,0
57,0,0,0
58,1,668,273
59,1,666,278
60,1,661,288
61,1,658,297
62,0,0,0
63,0,0,0
64,0,0,0
65,1,676,235
66,1,691,213
67,0,0,0
68,1,706,176
69,1,713,161
70,1,721,147
71,0,0,0
72,1,733,125
73,1,741,116
74,1,748,108
75,1,755,103
76,1,761,101
77,1,766,98
78,1,771,96
79,1,778,97
80,1,782,101
81,1,788,103
82,1,792,108
83,1,798,116
84,1,802,126
85,1,806,136
86,1,811,148
87,1,816,162
88,1,818,176
89,1,822,191
90,1,826,211
91,1,828,228
92,1,831,247
93,1,833,266
94,1,836,286
95,0,0,0
96,1,791,242
97,1,778,231
98,1,770,226
99,1,763,221
100,1,758,221
101,1,753,221
102,1,751,221
103,1,746,221
104,1,746,222
105,1,752,220
106,1,750,213
107,1,747,206
108,1,752,201
109,1,758,197
110,1,760,195
111,1,760,196
112,0,0,0
113,0,0,0
114,1,771,198
115,1,771,201
116,1,772,206
117,1,775,211
118,1,776,218
119,1,776,226
120,1,776,236
121,1,778,246
122,1,778,256
123,1,780,268
124,1,780,281
125,1,781,296
126,1,780,311
127,1,780,326
128,1,780,341
129,1,778,358
130,1,752,310
131,0,0,0
132,1,693,341
133,1,693,353
134,1,678,171
135,1,666,151
136,1,651,131
137,1,643,118
138,1,633,106
139,1,623,96
140,1,616,86
141,1,608,81
142,1,600,76
143,1,593,71
144,1,587,68
145,1,581,68
146,1,576,68
147,1,571,70
148,1,566,71
149,1,561,75
150,1,556,78
151,1,553,83
152,1,551,88
153,1,546,96
154,1,543,103
155,1,541,111
156,1,536,121
157,1,536,127
158,1,536,168
159,1,520,162
160,1,500,203
161,1,486,228
162,1,476,251
163,1,463,275
164,1,455,296
165,1,446,317
166,1,436,337
167,1,427,361
168,1,418,381
169,1,411,402
170,1,403,426
171,1,396,446
172,1,388,463
173,1,397,407
174,1,395,368
175,1,401,346
176,1,411,325
177,1,413,306
178,1,418,291
179,1,422,276
180,1,426,266
181,1,428,257
182,1,431,251
183,1,436,246
184,1,436,241
185,1,441,241
186,1,443,241
187,1,446,241
188,1,448,241
189,1,451,241
190,1,453,246
191,1,456,251
192,1,457,253
193,1,461,261
194,1,463,271
195,1,463,273
196,1,468,267
197,1,466,261
198,1,466,260
199,1,466,255
200,1,463,251
201,1,461,251
202,1,463,253
203,1,466,253
204,1,461,253
205,1,461,258
206,1,461,263
207,1,458,271
208,1,458,276
209,1,456,283
210,1,456,290
211,1,452,300
212,1,451,311
213,1,451,321
214,0,0,0
215,1,451,347
216,1,451,360
217,1,472,285
218,1,486,223
219,1,498,178
220,1,510,137
221,1,518,105
222,1,527,76
223,1,536,51
224,1,541,31
225,1,550,11
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
