Frame,Visibility,X,Y
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,1,640,246
38,1,636,246
39,1,633,248
40,0,0,0
41,0,0,0
42,0,0,0
43,1,618,267
44,0,0,0
45,1,612,282
46,1,608,291
47,1,606,301
48,1,603,313
49,1,600,325
50,1,596,336
51,0,0,0
52,0,0,0
53,0,0,0
54,1,661,282
55,1,672,273
56,1,681,263
57,0,0,0
58,0,0,0
59,1,707,248
60,1,715,243
61,1,721,246
62,1,716,226
63,0,0,0
64,1,738,253
65,1,743,258
66,1,751,262
67,0,0,0
68,1,758,273
69,1,762,281
70,1,748,258
71,1,732,227
72,1,718,211
73,1,765,283
74,1,693,176
75,1,681,162
76,1,668,152
77,1,655,143
78,1,648,136
79,0,0,0
80,0,0,0
81,1,618,121
82,1,608,121
83,1,598,121
84,1,588,123
85,1,648,302
86,0,0,0
87,1,562,135
88,1,563,135
89,1,561,138
90,1,533,165
91,1,526,176
92,1,516,191
93,1,508,206
94,1,501,221
95,1,492,238
96,1,486,253
97,1,478,273
98,1,471,292
99,0,0,0
100,1,471,293
101,1,556,251
102,1,570,246
103,1,577,243
104,1,586,241
105,1,521,511
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,1,535,228
119,1,528,233
120,1,523,241
121,1,518,247
122,1,516,253
123,1,511,265
124,1,506,276
125,1,501,286
126,1,496,301
127,1,493,315
128,1,488,327
129,1,486,341
130,1,487,352
131,1,523,322
132,1,547,308
133,1,568,296
134,1,582,282
135,1,566,393
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,1,661,253
141,0,0,0
142,0,0,0
143,0,0,0
144,1,695,262
145,1,703,263
146,1,711,266
147,1,716,273
148,1,723,281
149,1,731,288
150,1,736,282
151,1,736,271
152,1,740,265
153,1,741,258
154,1,741,253
155,1,738,246
156,1,738,246
157,1,741,246
158,1,742,241
159,1,742,242
160,1,741,246
161,1,741,248
162,1,741,253
163,1,741,260
164,1,741,266
165,1,741,272
166,1,737,281
167,1,736,291
168,1,736,301
169,1,736,312
170,1,736,325
171,0,0,0
172,1,725,233
173,1,712,301
174,1,716,143
175,1,713,106
176,1,711,76
177,1,706,48
178,1,705,26
179,1,701,7
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,1,680,7
206,1,680,21
207,1,681,33
208,1,681,46
209,1,681,60
210,1,678,73
211,1,678,86
212,0,0,0
213,1,630,167
214,1,587,228
215,1,568,255
216,1,542,290
217,1,521,325
218,1,501,356
219,1,485,385
220,1,553,483
221,1,453,440
222,1,438,466
223,1,426,491
224,1,422,496
225,1,441,440
226,1,460,405
227,1,472,375
228,1,483,351
229,1,496,328
230,1,505,311
231,1,513,296
232,1,521,283
233,1,528,276
