rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:00:08,259.0,1,0,A,1,發長球,,,2.0,,,,1.0,9,688.0,700.0,,,,,8,602.0,489.0,8,712.0,652.0,0
1,2.0,00:00:10,321.0,1,0,B,2,長球,,,1.0,9.0,688.0,700.0,1.0,3,489.0,424.0,,,,,9,679.0,705.0,8,612.0,472.0,0
1,3.0,00:00:12,363.0,1,0,A,2,切球,,,1.0,3.0,489.0,424.0,2.0,2,412.0,564.0,,,,,3,520.0,434.0,8,588.0,624.0,0
1,4.0,00:00:12,383.0,1,0,B,3,勾球,,1.0,2.0,2.0,412.0,564.0,2.0,10,868.0,495.0,出界,對手出界,A,,8,465.0,604.0,8,564.0,439.0,0
2,1.0,00:00:24,726.0,1,1,A,1,發長球,,,2.0,,,,1.0,4,333.0,691.0,,,,,8,650.0,456.0,8,484.0,640.0,0
2,2.0,00:00:26,788.0,1,1,B,2,殺球,1.0,,1.0,4.0,333.0,691.0,2.0,5,472.0,451.0,,,,,4,343.0,691.0,8,597.0,456.0,0
2,3.0,00:00:26,802.0,1,1,A,2,擋小球,,,2.0,5.0,472.0,451.0,2.0,7,712.0,571.0,,,,,8,552.0,463.0,6,376.0,672.0,0
2,4.0,00:00:27,831.0,1,1,B,2,推球,,,2.0,7.0,712.0,571.0,1.0,6,794.0,446.0,,,,,8,669.0,602.0,8,604.0,460.0,0
2,5.0,00:00:28,851.0,1,1,A,2,切球,,1.0,1.0,6.0,794.0,446.0,2.0,1,804.0,552.0,,,,,8,698.0,463.0,8,679.0,597.0,0
2,6.0,00:00:29,875.0,1,1,B,2,放小球,,,2.0,1.0,804.0,552.0,2.0,6,804.0,492.0,,,,,1,772.0,573.0,8,712.0,453.0,0
2,7.0,00:00:30,903.0,1,1,A,2,挑球,,1.0,2.0,6.0,804.0,492.0,1.0,6,396.0,664.0,,,,,7,753.0,506.0,7,705.0,590.0,0
2,8.0,00:00:31,940.0,1,1,B,2,長球,1.0,,1.0,6.0,396.0,664.0,1.0,4,777.0,427.0,,,,,8,561.0,662.0,8,636.0,480.0,0
2,9.0,00:00:32,977.0,1,1,A,2,殺球,1.0,,1.0,4.0,777.0,427.0,2.0,2,391.0,590.0,,,,,8,720.0,444.0,8,585.0,643.0,0
2,10.0,00:00:33,994.0,1,1,B,2,擋小球,,1.0,2.0,2.0,391.0,590.0,2.0,5,472.0,477.0,,,,,8,607.0,631.0,4,772.0,427.0,0
2,11.0,00:00:34,1025.0,1,1,A,2,推球,,,2.0,5.0,472.0,477.0,1.0,5,777.0,679.0,,,,,8,525.0,472.0,8,463.0,604.0,0
2,12.0,00:00:35,1063.0,1,1,B,2,過度切球,,,1.0,5.0,777.0,679.0,2.0,8,734.0,489.0,,,,,9,703.0,688.0,8,636.0,468.0,0
2,13.0,00:00:36,1089.0,1,1,A,3,勾球,,1.0,2.0,8.0,734.0,489.0,2.0,1,465.0,525.0,掛網,對手掛網,B,,8,691.0,484.0,8,655.0,621.0,0
3,1.0,00:00:49,1476.0,1,2,B,1,發長球,,1.0,2.0,,,,1.0,9,684.0,432.0,,,,,8,592.0,602.0,8,720.0,456.0,0
3,2.0,00:00:50,1509.0,1,2,A,2,長球,,,1.0,9.0,684.0,432.0,1.0,6,410.0,667.0,,,,,8,696.0,439.0,8,640.0,619.0,0
3,3.0,00:00:51,1547.0,1,2,B,3,長球,1.0,,1.0,6.0,410.0,667.0,2.0,4,768.0,422.0,對手落地致勝,落地致勝,B,,8,468.0,648.0,8,592.0,458.0,0
4,1.0,00:01:13,2214.0,1,3,B,1,發短球,,1.0,2.0,,,,2.0,8,513.0,489.0,,,,,8,638.0,609.0,8,554.0,453.0,0
4,2.0,00:01:14,2238.0,1,3,A,2,放小球,,,2.0,8.0,513.0,489.0,2.0,7,588.0,552.0,,,,,8,530.0,482.0,8,621.0,600.0,0
4,3.0,00:01:15,2262.0,1,3,B,2,挑球,,,2.0,7.0,588.0,552.0,1.0,3,530.0,424.0,,,,,7,564.0,564.0,8,580.0,482.0,0
4,4.0,00:01:16,2305.0,1,3,A,2,殺球,,,1.0,3.0,530.0,424.0,2.0,6,357.0,604.0,,,,,9,568.0,432.0,8,600.0,607.0,0
4,5.0,00:01:17,2325.0,1,3,B,2,防守回挑,,1.0,2.0,6.0,357.0,604.0,1.0,3,460.0,424.0,,,,,6,434.0,607.0,9,585.0,436.0,0
4,6.0,00:01:18,2349.0,1,3,A,2,切球,,,1.0,3.0,460.0,424.0,2.0,2,396.0,561.0,,,,,8,549.0,446.0,8,520.0,607.0,0
