Frame,Visibility,X,Y
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,1,696,315
26,1,703,308
27,1,712,303
28,1,718,301
29,1,727,301
30,1,733,303
31,1,742,306
32,1,748,308
33,1,757,313
34,1,763,317
35,1,770,326
36,1,776,333
37,1,781,341
38,1,788,353
39,1,792,363
40,1,796,376
41,1,802,391
42,1,806,406
43,1,811,421
44,1,815,430
45,1,816,406
46,1,817,388
47,1,818,371
48,1,821,355
49,1,821,347
50,1,823,340
51,1,826,331
52,1,828,323
53,1,830,321
54,1,831,316
55,1,832,317
56,1,831,320
57,1,833,321
58,1,833,326
59,1,833,331
60,1,835,333
61,1,835,341
62,1,836,351
63,1,837,358
64,1,837,368
65,1,838,380
66,1,838,392
67,1,841,403
68,1,841,388
69,1,843,370
70,1,845,353
71,1,846,346
72,0,0,0
73,1,843,330
74,1,842,323
75,1,842,318
76,1,843,316
77,1,843,311
78,1,843,311
79,1,845,315
80,1,846,316
81,1,846,318
82,1,848,323
83,1,848,328
84,1,851,335
85,1,851,343
86,1,851,353
87,1,851,363
88,1,851,376
89,1,851,390
90,1,851,403
91,0,0,0
92,1,802,263
93,1,781,211
94,1,763,166
95,1,750,128
96,1,736,96
97,1,726,68
98,1,716,46
99,1,706,25
100,1,700,8
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,1,613,3
121,1,611,11
122,1,611,23
123,1,608,36
124,1,607,51
125,1,606,65
126,1,606,78
127,1,605,93
128,1,603,110
129,1,603,125
130,1,601,141
131,1,601,156
132,0,0,0
133,1,636,187
134,1,650,201
135,1,663,212
136,1,677,226
137,1,683,236
138,1,696,251
139,1,706,266
140,1,713,278
141,1,722,296
142,1,728,310
143,1,736,326
144,1,743,341
145,1,748,356
146,1,755,375
147,1,760,391
148,1,765,408
149,1,770,427
150,1,773,446
151,1,778,465
152,0,0,0
153,0,0,0
154,0,0,0
155,1,796,406
156,1,793,386
157,1,793,366
158,1,796,351
159,1,796,341
160,1,801,326
161,1,802,321
162,1,805,313
163,1,806,306
164,1,807,303
165,1,808,301
166,1,810,301
167,1,811,298
168,1,812,301
169,1,813,301
170,1,816,305
171,1,816,308
172,1,818,316
173,1,821,323
174,1,821,331
175,1,823,341
176,1,823,351
177,0,0,0
178,1,775,296
179,1,755,270
180,1,736,246
181,0,0,0
182,1,701,208
183,1,686,193
184,1,671,181
185,1,657,171
186,1,643,162
187,1,632,156
188,1,621,151
189,1,610,148
190,1,598,148
191,1,588,148
192,1,577,151
193,1,568,156
194,1,556,161
195,1,547,166
196,1,538,176
197,1,528,186
198,1,521,196
199,1,511,210
200,1,503,223
201,1,496,240
202,1,486,256
203,1,481,273
204,1,473,291
205,1,466,311
206,1,460,332
207,1,453,356
208,1,451,366
209,1,468,341
210,1,478,325
211,1,486,315
212,1,492,307
213,1,498,303
214,1,505,301
215,1,506,301
216,1,511,302
217,1,515,305
218,1,516,306
219,1,521,311
220,1,523,316
221,1,526,321
222,1,527,327
223,1,532,330
224,1,552,316
225,1,568,306
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,1,667,310
237,1,673,317
238,1,681,327
239,1,686,338
240,1,693,348
241,1,698,363
242,1,706,376
243,1,711,391
244,1,716,405
245,1,721,421
246,0,0,0
247,0,0,0
248,1,741,386
249,1,743,366
250,1,748,355
251,1,753,345
252,1,760,333
253,1,763,323
254,1,766,316
255,1,768,311
256,1,771,311
257,1,773,307
258,1,776,306
259,1,778,306
260,1,781,308
261,1,781,312
262,1,783,317
263,1,770,321
264,1,747,311
265,1,728,308
266,1,710,306
267,1,697,306
268,0,0,0
269,1,670,308
270,1,656,311
271,1,645,317
272,1,636,323
273,1,625,331
274,1,616,341
275,1,606,348
276,1,591,341
277,1,596,297
278,1,597,266
279,1,600,246
280,1,601,231
281,1,603,218
282,1,603,211
283,1,606,206
284,1,606,201
285,1,606,200
286,1,608,198
287,1,611,200
288,1,612,201
289,1,613,205
290,1,616,208
291,1,616,211
292,1,616,217
293,1,618,223
294,1,621,231
295,1,621,238
296,1,622,248
297,1,626,256
298,1,626,266
299,1,626,276
300,1,628,286
301,1,631,298
302,1,631,310
303,1,632,321
304,1,633,332
305,1,633,346
306,1,636,351
307,0,0,0
308,0,0,0
309,0,0,0
310,1,635,335
311,1,635,331
312,1,635,331
313,1,633,326
314,1,635,327
315,1,633,330
316,1,631,333
317,0,0,0
318,1,633,341
319,1,633,348
320,1,632,351
321,1,635,350
322,1,633,346
323,0,0,0
324,1,632,348
